artifact_id,truckFactor,criticality_score
io.vertx:testtools,0,-1
io.vertx:vertx-platform,0,-1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,1,0.58546
org.webjars.npm:glob,1,0.72878
org.jibx.schema.org.opentravel._2014A:org.jibx.schema.org.opentravel._2014A.base,1,-1
com.amazonaws:aws-java-sdk-s3,1,0.76798
org.scala-js:scalajs-library_2.10,1,0.6856
org.codehaus.plexus:plexus-interpolation,1,-1
org.specs2:specs2-core_2.11,1,0.59061
org.reflections:reflections,1,0.57167
org.webjars.npm:inherits,1,0.54341
io.undertow:undertow-core,1,0.63022
org.parboiled:parboiled-java,1,0.43393
org.webjars.npm:source-map,1,0.67901
com.kohlschutter.junixsocket:junixsocket-native-common,1,0.53905
org.jgrapes:org.jgrapes.portal,1,-1
org.scala-tools.testing:specs_2.10,1,-1
org.apache.httpcomponents:httpmime,1,0.5855
org.jboss.logging:jboss-logging,1,-1
org.jsoup:jsoup,1,0.68014
org.codehaus.mojo:animal-sniffer-annotations,1,-1
javax.interceptor:javax.interceptor-api,1,-1
com.github.stefanbirkner:system-rules,1,0.3624
com.fasterxml.jackson.datatype:jackson-datatype-joda,1,0.50923
org.fabric3:fabric3-spi,1,-1
org.antlr:antlr-runtime,1,0.55921
org.scalamacros:quasiquotes_2.10,1,0.50042
org.clojure:clojure,1,0.589
org.hamcrest:hamcrest-junit,1,0.30794
com.alibaba:fastjson,1,0.64964
com.chuusai:shapeless_2.10,1,0.58852
org.awaitility:awaitility,1,0.56881
org.scalacheck:scalacheck_sjs0.6_2.12,1,-1
org.webjars.bowergithub.webcomponents:shadycss,1,0.48422
com.thoughtworks.qdox:qdox,1,0.48892
org.slf4j:jul-to-slf4j,1,0.72611
org.jibx.schema.org.opentravel._2012B:org.jibx.schema.org.opentravel._2012B.base,1,-1
org.typelevel:macro-compat_2.11,1,0.48111
org.webjars:angularjs,1,-1
org.webjars.npm:es5-ext,1,0.62428
org.jibx.schema.org.opentravel._2012A:org.jibx.schema.org.opentravel._2012A.base,1,-1
org.jboss.modules:jboss-modules,1,-1
org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec,1,-1
org.jboss.logging:jboss-logging-processor,1,-1
com.carrotsearch.randomizedtesting:junit4-ant,1,-1
com.thesett:base,1,-1
javax.enterprise:cdi-api,1,-1
org.specs2:specs2-core_2.12,1,0.59061
org.bouncycastle:bcprov-jdk15on,1,0.72298
ch.qos.logback:logback-core,1,0.69217
org.webjars.bower:angular,1,0.47042
org.jmock:jmock-junit4,1,0.49545
com.github.spullara.mustache.java:compiler,1,0.58303
org.hibernate.javax.persistence:hibernate-jpa-2.1-api,1,-1
org.specs2:specs2-matcher_2.12,1,0.59061
com.helger:ph-commons,1,-1
com.jcraft:jzlib,1,0.33805
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,1,0.55942
org.igniterealtime.smack:smack-core,1,0.50045
org.typelevel:machinist_2.11,1,-1
com.mchange:mchange-commons-java,1,-1
com.fasterxml.jackson.module:jackson-module-jaxb-annotations,1,0.55069
org.slf4j:jcl-over-slf4j,1,0.72611
net.bytebuddy:byte-buddy-agent,1,0.66414
org.codehaus.janino:janino,1,0.57868
org.webjars.bower:github-com-webcomponents-shadycss,1,0.48422
org.webjars.npm:loose-envify,1,0.50358
io.circe:circe-core_2.11,1,-1
org.jibx.schema.org.opentravel._2014B:org.jibx.schema.org.opentravel._2014B.base,1,-1
com.google.code.findbugs:findbugs-annotations,1,0.4854
org.slf4j:slf4j-log4j12,1,0.72611
jaxen:jaxen,1,0.45753
org.slf4j:slf4j-simple,1,0.72611
org.webjars.bower:webcomponentsjs,1,0.53236
com.mchange:c3p0,1,0.39757
com.lihaoyi:sourcecode_2.12,1,-1
org.jboss.spec.javax.ejb:jboss-ejb-api_3.1_spec,1,-1
org.clojure:tools.logging,1,0.40081
